what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1327664267450
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1327664267466
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1327664269806
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1327664270009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327664401348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327664401457
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1327664404453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327664408337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327664420580
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327664420611
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327664422752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327664424281
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1327664470557
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1327664470572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327664473765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327664473796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327664477759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327664478991
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1327664479022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327664479705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327664480298
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1327664483094
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327664484779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327664555464
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327664555511
